t_wall,px,py,yaw_deg,plan_rel_deg,front_obst_m,cmd_nav_vx,cmd_nav_wz
1788372181.608,6.457,2.118,86.4,41.1,4.211,0.0000,-3.6426
1788372181.819,6.461,2.121,91.1,38.6,5.764,0.0000,-4.0000
1788372182.032,6.448,2.120,96.1,28.8,5.729,0.0000,-4.0000
1788372182.257,6.441,2.112,101.1,19.1,5.729,0.0000,-4.0000
1788372182.490,6.440,2.111,106.0,13.8,5.733,0.0000,-4.0000
1788372182.697,6.442,2.113,109.9,11.1,5.735,0.0000,-4.0000
1788372182.905,6.443,2.109,114.5,6.0,2.961,0.0000,-4.0000
1788372183.142,6.444,2.107,119.2,1.0,2.865,0.0000,-4.0000
1788372183.365,6.420,2.128,118.3,-3.1,2.843,0.0000,-4.0000
1788372183.580,6.400,2.157,118.9,-8.3,2.807,0.0000,-4.0000
1788372183.802,6.386,2.182,112.3,-8.3,2.772,0.0000,-4.0000
1788372184.030,6.386,2.182,91.7,12.3,5.627,0.0000,-4.0000
1788372184.242,6.386,2.182,71.7,32.3,4.315,0.0000,-4.0000
1788372184.456,6.377,2.165,58.0,33.7,1.464,0.0000,-4.0000
1788372184.688,6.365,2.187,50.3,25.6,1.209,0.0000,-4.0000
1788372184.912,6.364,2.187,44.6,28.6,1.109,0.0000,-3.9917
1788372185.122,6.360,2.174,39.8,33.4,1.067,0.0000,-3.8052
1788372185.340,6.360,2.185,34.9,34.2,1.067,0.0000,-3.5771
1788372185.579,6.353,2.181,30.7,33.3,1.067,0.0000,-3.3216
1788372185.792,6.364,2.192,24.7,47.3,1.066,0.0000,-3.0022
1788372186.001,6.366,2.193,19.4,54.1,1.064,0.0000,-2.7173
1788372186.230,6.361,2.186,14.4,55.8,1.057,0.0000,0.0000
1788372186.451,6.357,2.193,9.9,50.4,1.051,0.0000,0.0000
1788372186.661,6.355,2.196,8.8,45.5,1.047,0.0000,0.0000
1788372186.869,6.358,2.205,9.2,41.4,1.047,0.0000,0.0000
1788372187.094,6.358,2.205,9.2,41.4,1.047,0.0000,0.0000
1788372187.301,6.358,2.205,9.2,41.4,1.047,0.0000,0.0000
1788372187.504,6.358,2.205,9.2,41.4,1.047,0.0000,0.0000
1788372187.727,6.361,2.205,9.2,-1.5,1.047,0.3500,0.0000
1788372187.963,6.398,2.211,9.2,-1.6,1.027,0.3500,0.0000
1788372188.176,6.438,2.218,9.2,-2.5,1.011,0.3500,0.0000
1788372188.387,6.472,2.223,9.2,-3.4,0.996,0.3182,0.0000
1788372188.625,6.512,2.230,9.2,-4.2,0.981,0.2545,0.0000
1788372188.840,6.513,2.230,3.5,-4.1,1.102,0.3182,0.0000
1788372189.049,6.497,2.241,0.1,-1.8,4.962,0.3500,0.0000
1788372189.267,6.504,2.241,0.1,-1.9,4.962,0.3500,0.0000
1788372189.502,6.544,2.261,0.6,-4.9,4.933,0.3500,0.0000
1788372189.720,6.589,2.262,0.6,1.0,4.888,0.3500,0.0000
1788372189.931,6.634,2.262,0.6,0.9,4.843,0.3500,0.0000
1788372190.166,6.671,2.262,0.6,0.8,4.799,0.3182,0.0000
1788372190.390,6.724,2.272,0.8,-0.8,4.754,0.2864,0.0000
1788372190.601,6.773,2.277,0.9,-1.8,4.710,0.2227,0.0000
1788372190.834,6.818,2.277,0.9,-2.4,4.667,0.1909,0.0000
1788372191.066,6.856,2.272,0.8,-2.0,4.623,0.1591,0.0000
1788372191.285,6.901,2.272,0.8,-2.4,4.579,0.1273,0.0000
1788372191.579,6.945,2.280,0.2,-2.9,4.535,0.0955,0.0000
