t,state,reason,active,lin,ang,nav_wants,x,y,stuck_s,rear_gap,front_gap,side_clear,nearest,guard_blocked,obstacle_mapped,near_mapped
190.6,monitoring,,0,0.0,0.0,1,4.138,2.366,0.13,3.497,5.217,0.479,0.763,0,0,0
190.7,monitoring,,0,0.0,0.0,1,4.115,2.346,0.0,3.57,5.188,0.505,0.774,0,0,0
190.8,monitoring,,0,0.0,0.0,0,4.091,2.327,0.11,3.598,5.16,0.532,0.789,0,0,0
190.9,monitoring,,0,0.0,0.0,1,4.067,2.308,0.0,3.627,5.131,0.551,0.802,0,0,0
191.0,monitoring,,0,0.0,0.0,1,4.043,2.288,0.12,3.656,5.103,0.579,0.816,0,0,0
191.1,monitoring,,0,0.0,0.0,1,4.02,2.269,0.0,3.685,5.074,0.607,0.832,0,0,0
191.2,monitoring,,0,0.0,0.0,1,3.996,2.25,0.11,3.713,5.045,0.626,0.848,0,0,0
191.3,monitoring,,0,0.0,0.0,1,3.972,2.23,0.0,3.742,5.017,0.655,0.865,0,0,0
191.4,monitoring,,0,0.0,0.0,1,3.949,2.211,0.12,3.771,4.988,0.675,0.883,0,0,0
191.5,monitoring,,0,0.0,0.0,1,3.925,2.192,0.0,3.8,4.96,0.694,0.901,0,0,0
191.6,monitoring,,0,0.0,0.0,1,3.901,2.172,0.11,3.828,4.931,0.724,0.92,0,0,0
191.7,monitoring,,0,0.0,0.0,1,3.877,2.153,0.0,3.857,4.902,0.744,0.939,0,0,0
191.8,monitoring,,0,0.0,0.0,1,3.861,2.14,0.1,3.886,4.874,0.775,0.957,0,0,0
191.9,monitoring,,0,0.0,0.0,1,3.861,2.14,0.22,3.904,4.861,0.79,0.973,0,0,0
192.0,monitoring,,0,0.0,0.0,1,3.861,2.14,0.34,3.785,5.139,0.771,0.974,0,0,0
192.1,monitoring,,0,0.0,0.0,1,3.861,2.14,0.46,3.758,4.998,0.745,0.975,0,0,0
192.2,monitoring,,0,0.0,0.0,1,3.861,2.14,0.0,3.752,4.866,0.731,0.975,0,0,0
192.3,monitoring,,0,0.0,0.0,1,3.861,2.14,0.11,3.731,4.75,0.72,0.976,0,0,0
192.4,monitoring,,0,0.0,0.0,1,3.854,2.136,0.22,3.963,4.671,0.713,0.977,0,0,0
192.5,monitoring,,0,0.0,0.0,1,3.834,2.126,0.32,3.973,4.66,0.718,0.982,0,0,0
192.6,monitoring,,0,0.0,0.0,1,3.806,2.113,0.0,3.997,4.634,0.729,0.994,0,0,0
192.7,monitoring,,0,0.0,0.0,1,3.779,2.099,0.12,4.024,4.605,0.743,1.007,0,0,0
192.8,monitoring,,0,0.0,0.0,1,3.751,2.086,0.0,4.051,4.575,0.763,1.021,0,0,0
192.9,monitoring,,0,0.0,0.0,1,3.724,2.072,0.11,4.078,4.546,0.776,1.034,0,0,0
193.0,monitoring,,0,0.0,0.0,1,3.696,2.058,0.0,4.105,4.516,0.789,1.047,0,0,0
193.1,monitoring,,0,0.0,0.0,1,3.669,2.045,0.11,4.132,4.487,0.803,1.061,0,0,0
193.2,monitoring,,0,0.0,0.0,1,3.642,2.031,0.0,4.159,4.422,0.824,1.074,0,0,0
193.3,monitoring,,0,0.0,0.0,1,3.614,2.018,0.11,4.186,4.393,0.837,1.087,0,0,0
193.4,monitoring,,0,0.0,0.0,1,3.587,2.004,0.0,4.213,4.364,0.85,1.101,0,0,0
193.5,monitoring,,0,0.0,0.0,1,3.559,1.991,0.11,4.24,4.335,0.864,1.114,0,0,0
193.6,monitoring,,0,0.0,0.0,1,3.532,1.977,0.0,4.267,4.305,0.877,1.127,0,0,0
193.7,monitoring,,0,0.0,0.0,1,3.504,1.964,0.11,4.294,4.276,0.894,1.14,0,0,0
193.8,monitoring,,0,0.0,0.0,1,3.486,1.954,0.0,4.321,4.247,0.908,1.154,0,0,0
193.9,monitoring,,0,0.0,0.0,1,3.459,1.941,0.1,4.348,4.218,0.921,1.167,0,0,0
194.0,monitoring,,0,0.0,0.0,1,3.431,1.927,0.0,4.375,4.189,0.935,1.18,0,0,0
194.1,monitoring,,0,0.0,0.0,1,3.404,1.914,0.12,4.402,4.159,0.948,1.194,0,0,0
194.2,monitoring,,0,0.0,0.0,1,3.376,1.9,0.0,4.429,4.13,0.961,1.207,0,0,0
194.3,monitoring,,0,0.0,0.0,1,3.349,1.887,0.11,4.593,4.101,0.983,1.22,0,0,0
194.4,monitoring,,0,0.0,0.0,1,3.322,1.873,0.0,4.621,4.072,0.997,1.234,0,0,0
194.5,monitoring,,0,0.0,0.0,1,3.294,1.86,0.11,4.649,4.042,1.01,1.247,0,0,0
194.6,monitoring,,0,0.0,0.0,1,3.267,1.846,0.0,4.677,4.013,1.024,1.26,0,0,0
194.7,monitoring,,0,0.0,0.0,1,3.239,1.832,0.11,4.705,3.984,1.038,1.274,0,0,0
194.8,monitoring,,0,0.0,0.0,1,3.212,1.819,0.0,4.733,3.955,1.051,1.287,0,0,0
194.9,monitoring,,0,0.0,0.0,1,3.184,1.805,0.12,4.76,3.926,1.074,1.3,0,0,0
195.0,monitoring,,0,0.0,0.0,1,3.157,1.792,0.0,4.788,3.896,1.087,1.314,0,0,0
195.1,monitoring,,0,0.0,0.0,1,3.129,1.778,0.1,4.816,3.867,1.101,1.327,0,0,0
195.2,monitoring,,0,0.0,0.0,1,3.102,1.765,0.0,4.844,3.838,1.115,1.34,0,0,0
195.3,monitoring,,0,0.0,0.0,1,3.075,1.751,0.11,4.872,3.809,1.128,1.354,0,0,0
195.4,monitoring,,0,0.0,0.0,1,3.047,1.738,0.0,4.899,3.78,1.142,1.367,0,0,0
195.5,monitoring,,0,0.0,0.0,1,3.029,1.729,0.12,4.927,3.75,1.156,1.38,0,0,0
195.6,monitoring,,0,0.0,0.0,1,3.001,1.715,0.0,4.955,3.721,1.169,1.394,0,0,0
195.7,monitoring,,0,0.0,0.0,1,2.974,1.701,0.11,4.983,3.692,1.193,1.407,0,0,0
195.8,monitoring,,0,0.0,0.0,1,2.947,1.688,0.0,5.011,3.663,1.206,1.42,0,0,0
195.9,monitoring,,0,0.0,0.0,1,2.919,1.674,0.11,5.038,3.634,1.207,1.434,0,0,0
196.0,monitoring,,0,0.0,0.0,1,2.892,1.661,0.0,5.066,3.604,1.208,1.447,0,0,0
