ts,v_front,v_rear,set_left,set_right,meas_fl,meas_fr,meas_rl,meas_rr,stall,event
1788647754.934,41.56,40.92,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647755.051,41.56,40.92,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647755.167,41.56,40.92,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647755.243,41.56,40.92,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647755.349,41.56,40.92,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647755.435,41.56,40.92,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647755.548,41.56,40.92,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647755.638,41.56,40.92,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647755.744,41.56,40.92,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647755.834,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647755.945,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647756.046,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647756.170,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647756.251,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647756.334,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647756.436,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647756.534,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647756.635,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647756.751,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647756.837,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647756.936,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647757.034,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647757.135,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647757.234,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647757.335,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647757.443,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647757.534,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647757.647,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647757.737,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647757.858,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647757.943,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647758.042,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647758.141,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647758.241,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647758.348,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
